lines	n	af1	af2	beta3	pmin	p80	pmax
1000	20000	0.1	0.05	0.5	1.265593e-13	0.0001995085	0.1254545
1000	20000	0.1	0.05	1.0	6.528996e-36	9.254183e-19	5.125516e-10
1000	20000	0.1	0.05	2.0	8.477313e-102	4.83121e-71	2.388641e-55
1000	20000	0.1	0.05	5.0	1.918722e-245	6.430787e-206	3.580933e-187
1000	20000	0.1	0.1	0.1	5.40506e-06	0.6018081	0.9985888
1000	20000	0.1	0.1	0.2	8.71676e-09	0.1040247	0.969183
1000	20000	0.1	0.1	0.5	3.714491e-22	4.921527e-09	3.705331e-05
1000	20000	0.1	0.1	1.0	2.028855e-64	2.638629e-39	6.720847e-28
1000	20000	0.1	0.1	2.0	3.418901e-183	1.314599e-138	2.250735e-115
1000	20000	0.1	0.1	5.0	0	0	0
1000	20000	0.2	0.01	0.1	0.0001082303	0.7606226	0.9996371
1000	20000	0.2	0.01	0.2	1.277961e-05	0.6606411	0.9994433
1000	20000	0.2	0.01	0.5	1.185574e-12	0.03736031	0.7758488
1000	20000	0.2	0.01	1.0	1.721548e-21	6.401765e-08	0.003137057
1000	20000	0.2	0.01	2.0	1.019419e-48	2.52684e-27	6.665442e-16
1000	20000	0.2	0.01	5.0	1.022515e-91	7.528836e-68	2.448017e-52
1000	20000	0.2	0.05	0.1	2.25055e-06	0.5947339	0.999443
1000	20000	0.2	0.05	0.2	5.059234e-09	0.09929261	0.9565409
1000	20000	0.2	0.05	0.5	4.639894e-27	3.383262e-09	0.0003505766
1000	20000	0.2	0.05	1.0	7.539682e-65	6.724902e-40	4.440637e-27
1000	20000	0.2	0.05	2.0	8.193501e-168	1.818879e-134	1.182622e-115
1000	20000	0.2	0.05	5.0	0	0	1.062005e-302
1000	20000	0.2	0.1	0.1	6.371257e-06	0.3220052	0.992044
1000	20000	0.2	0.1	0.2	2.472829e-15	0.003581582	0.5948773
1000	20000	0.2	0.1	0.5	7.435191e-41	8.097865e-20	1.006795e-11
1000	20000	0.2	0.1	1.0	3.701741e-116	9.782025e-82	1.75926e-62
1000	20000	0.2	0.1	2.0	3.982169e-321	2.78322e-259	1.865945e-224
1000	20000	0.2	0.1	5.0	0	0	0
1000	20000	0.2	0.2	0.1	6.843139e-08	0.06699833	0.8539078
1000	20000	0.2	0.2	0.2	4.79631e-18	1.67479e-06	0.01224547
1000	20000	0.2	0.2	0.5	1.03957e-75	6.883882e-44	1.461531e-32
1000	20000	0.2	0.2	1.0	1.299188e-213	1.1555e-168	6.207956e-146
1000	20000	0.2	0.2	2.0	0	0	0
1000	20000	0.2	0.2	5.0	0	0	0
1000	50000	0.01	0.01	0.1	0.0001286632	0.7692998	0.9997369
1000	50000	0.01	0.01	0.2	6.999401e-06	0.7857639	0.997311
1000	50000	0.01	0.01	0.5	0.0001562288	0.6830819	0.9997651
