	A_A	A_R	A_N	A_D	A_C	A_E	A_Q	A_G	A_H	A_I	A_L	A_K	A_M	A_F	A_P	A_S	A_T	A_W	A_Y	A_V	R_A	R_R	R_N	R_D	R_C	R_E	R_Q	R_G	R_H	R_I	R_L	R_K	R_M	R_F	R_P	R_S	R_T	R_W	R_Y	R_V	N_A	N_R	N_N	N_D	N_C	N_E	N_Q	N_G	N_H	N_I	N_L	N_K	N_M	N_F	N_P	N_S	N_T	N_W	N_Y	N_V	D_A	D_R	D_N	D_D	D_C	D_E	D_Q	D_G	D_H	D_I	D_L	D_K	D_M	D_F	D_P	D_S	D_T	D_W	D_Y	D_V	C_A	C_R	C_N	C_D	C_C	C_E	C_Q	C_G	C_H	C_I	C_L	C_K	C_M	C_F	C_P	C_S	C_T	C_W	C_Y	C_V	E_A	E_R	E_N	E_D	E_C	E_E	E_Q	E_G	E_H	E_I	E_L	E_K	E_M	E_F	E_P	E_S	E_T	E_W	E_Y	E_V	Q_A	Q_R	Q_N	Q_D	Q_C	Q_E	Q_Q	Q_G	Q_H	Q_I	Q_L	Q_K	Q_M	Q_F	Q_P	Q_S	Q_T	Q_W	Q_Y	Q_V	G_A	G_R	G_N	G_D	G_C	G_E	G_Q	G_G	G_H	G_I	G_L	G_K	G_M	G_F	G_P	G_S	G_T	G_W	G_Y	G_V	H_A	H_R	H_N	H_D	H_C	H_E	H_Q	H_G	H_H	H_I	H_L	H_K	H_M	H_F	H_P	H_S	H_T	H_W	H_Y	H_V	I_A	I_R	I_N	I_D	I_C	I_E	I_Q	I_G	I_H	I_I	I_L	I_K	I_M	I_F	I_P	I_S	I_T	I_W	I_Y	I_V	L_A	L_R	L_N	L_D	L_C	L_E	L_Q	L_G	L_H	L_I	L_L	L_K	L_M	L_F	L_P	L_S	L_T	L_W	L_Y	L_V	K_A	K_R	K_N	K_D	K_C	K_E	K_Q	K_G	K_H	K_I	K_L	K_K	K_M	K_F	K_P	K_S	K_T	K_W	K_Y	K_V	M_A	M_R	M_N	M_D	M_C	M_E	M_Q	M_G	M_H	M_I	M_L	M_K	M_M	M_F	M_P	M_S	M_T	M_W	M_Y	M_V	F_A	F_R	F_N	F_D	F_C	F_E	F_Q	F_G	F_H	F_I	F_L	F_K	F_M	F_F	F_P	F_S	F_T	F_W	F_Y	F_V	P_A	P_R	P_N	P_D	P_C	P_E	P_Q	P_G	P_H	P_I	P_L	P_K	P_M	P_F	P_P	P_S	P_T	P_W	P_Y	P_V	S_A	S_R	S_N	S_D	S_C	S_E	S_Q	S_G	S_H	S_I	S_L	S_K	S_M	S_F	S_P	S_S	S_T	S_W	S_Y	S_V	T_A	T_R	T_N	T_D	T_C	T_E	T_Q	T_G	T_H	T_I	T_L	T_K	T_M	T_F	T_P	T_S	T_T	T_W	T_Y	T_V	W_A	W_R	W_N	W_D	W_C	W_E	W_Q	W_G	W_H	W_I	W_L	W_K	W_M	W_F	W_P	W_S	W_T	W_W	W_Y	W_V	Y_A	Y_R	Y_N	Y_D	Y_C	Y_E	Y_Q	Y_G	Y_H	Y_I	Y_L	Y_K	Y_M	Y_F	Y_P	Y_S	Y_T	Y_W	Y_Y	Y_V	V_A	V_R	V_N	V_D	V_C	V_E	V_Q	V_G	V_H	V_I	V_L	V_K	V_M	V_F	V_P	V_S	V_T	V_W	V_Y	V_V
S_H	2	7	4	3	 	 	5	1	239	1	4	1	3	4	1	1	 	 	13	4	 	2	1	8	1	1	1	 	43	 	1	1	1	 	 	2	 	 	2	7	 	6	2	2	1	3	6	1	136	1	1	2	 	1	1	2	1	 	4	7	 	2	1	 	 	 	2	1	24	 	1	1	 	 	 	 	 	 	1	4	1	1	1	4	 	 	1	1	76	 	2	 	 	 	 	1	 	 	2	8	 	2	 	 	 	 	1	1	10	 	1	 	 	 	 	 	 	 	 	5	 	1	1	 	1	1	3	1	15	 	 	1	 	 	 	 	 	 	1	8	 	5	1	1	1	 	4	1	88	 	2	1	 	 	1	 	 	 	3	5	 	1	1	 	 	 	1	1	17	 	 	1	 	3	 	 	 	 	1	2	 	1	 	 	 	1	 	 	12	1	 	 	2	 	 	 	 	 	 	3	 	 	3	1	 	 	2	1	23	 	 	1	 	 	 	1	 	 	1	6	 	 	1	2	 	1	2	 	16	 	 	 	 	1	 	 	 	 	3	1	 	 	 	 	 	 	 	 	6	 	 	1	 	 	 	 	 	 	1	2	 	1	1	1	1	 	2	1	18	 	 	1	 	 	 	1	 	 	1	8	1	3	1	1	 	 	1	 	68	 	3	1	 	2	1	 	1	 	4	517	5	83	72	44	19	8	124	9	-2433	3	42	8	1	31	19	25	6	1	142	43	1	6	2	3	1	5	14	 	363	1	3	1	 	 	2	3	2	 	12	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	1	 	1	 	 	 	 	 	 	12	 	 	1	 	 	 	 	 	 	1	5	 	 	1	 	7	1	1	 	22	 	 	 	2	 	 	1	 	 	3	 
S_I	3	1	1	 	 	1	 	1	 	246	28	1	5	3	 	1	5	 	 	65	 	 	 	1	 	1	 	 	 	35	2	1	1	1	1	2	2	 	 	15	2	1	1	 	 	1	 	1	 	152	15	1	2	1	 	5	12	1	1	40	 	1	 	 	 	 	 	 	 	27	2	 	1	 	 	 	1	 	 	12	3	 	 	 	1	 	 	 	 	89	7	 	2	2	2	 	1	 	 	39	 	1	 	 	 	 	 	 	 	8	2	 	 	 	 	 	1	 	 	5	 	 	 	 	 	 	 	 	1	7	1	 	 	 	 	 	1	 	 	11	2	1	 	 	 	 	1	 	 	61	3	 	2	 	1	 	3	 	 	29	 	 	1	 	 	 	 	 	 	25	2	 	1	2	1	1	1	 	 	8	1	 	 	 	 	 	 	 	 	23	6	 	 	 	 	 	2	 	 	9	1	 	 	 	 	 	 	 	 	31	2	 	 	 	 	 	1	 	 	8	1	1	 	 	 	 	 	 	 	16	3	 	 	 	 	 	2	 	 	8	 	 	 	 	 	 	 	 	 	4	 	 	 	 	 	1	 	 	 	5	2	 	2	 	 	 	 	 	 	13	2	 	2	1	 	1	1	 	 	11	1	 	1	 	 	 	 	 	 	43	3	 	2	 	 	 	3	 	 	620	44	7	18	2	5	1	2	4	2	-3746	232	10	114	23	3	18	140	 	10	1401	5	2	 	 	1	1	 	 	 	291	23	 	4	3	 	6	9	 	 	48	 	 	 	 	 	 	 	 	 	2	3	 	 	 	 	 	 	 	 	8	 	 	 	 	 	 	 	 	 	16	 	 	1	1	 	 	 	 	 	17	1	 	1	 	 	 	 	 	 	13	2	 	 	 	 	1	1	 	 	11
S_L	3	3	1	 	 	1	2	2	 	29	313	1	5	5	1	2	1	1	 	14	 	1	 	1	 	2	3	 	 	4	55	 	1	1	 	1	 	1	 	14	 	1	1	 	 	1	1	1	1	7	184	1	6	8	1	2	1	1	1	11	 	1	 	 	 	 	 	 	 	2	16	 	 	 	 	 	1	 	 	12	2	 	 	 	 	 	1	 	 	2	100	 	3	4	 	 	3	 	 	13	1	2	 	 	 	 	1	 	1	1	12	1	 	 	 	1	 	 	1	2	 	 	 	 	 	 	 	 	 	2	13	1	1	 	1	 	1	 	 	10	8	2	 	 	 	 	1	 	 	2	133	 	1	1	7	2	 	 	 	8	 	 	 	 	 	 	 	 	1	1	18	 	2	1	 	2	 	 	 	5	 	 	 	 	 	 	 	 	 	3	23	 	1	 	 	 	1	 	 	9	 	 	 	 	 	 	 	 	 	2	28	 	1	1	3	1	 	 	 	7	1	 	 	 	 	1	2	 	 	1	15	 	1	1	 	 	 	 	 	5	 	 	 	 	 	 	 	 	 	 	6	 	 	 	 	 	 	 	 	12	 	 	 	 	 	 	 	 	1	2	31	 	1	4	 	 	 	 	1	4	 	1	 	 	 	1	 	 	 	 	44	 	1	1	2	1	 	 	 	632	10	17	2	1	2	2	42	8	41	198	-2955	6	167	155	25	22	12	4	16	300	1	3	1	 	 	1	2	 	4	18	253	1	4	3	1	2	1	1	1	13	 	 	 	 	 	 	 	 	 	 	6	 	1	1	 	 	 	 	 	2	1	 	 	 	 	 	 	 	 	 	26	 	1	1	 	 	 	 	 	4	 	 	 	 	 	 	 	 	 	1	36	 	1	1	 	 	 	 	 	2
S_K	 	22	2	1	 	7	7	3	1	 	1	317	 	 	 	4	1	 	 	8	 	5	3	2	 	8	3	1	 	 	2	59	1	 	 	1	2	 	 	12	1	18	8	7	 	8	7	1	1	1	 	290	1	 	 	4	4	 	 	10	1	7	1	 	 	 	1	 	 	 	 	59	 	 	1	1	1	 	 	10	1	7	1	 	 	4	 	1	1	 	 	95	 	 	 	 	 	 	 	6	 	4	1	 	 	1	1	 	 	 	 	22	 	 	 	1	1	 	 	5	 	9	1	 	 	2	2	 	 	 	 	19	 	 	 	1	2	 	 	14	 	9	2	 	 	3	3	1	 	 	 	195	 	 	 	1	1	 	 	2	 	5	 	1	 	1	3	 	 	 	 	36	1	 	 	 	1	 	 	1	 	1	 	 	 	1	 	 	 	 	 	21	 	 	 	1	 	 	 	2	 	8	1	 	 	1	1	 	 	1	 	41	1	 	 	 	1	 	 	7	 	6	2	2	 	5	2	1	 	 	 	47	 	 	 	1	2	 	 	1	 	1	 	 	 	 	1	 	 	 	 	4	 	 	 	 	 	 	 	2	 	4	 	 	 	1	1	 	 	1	1	19	1	 	 	 	 	 	 	3	 	8	1	1	 	4	3	1	 	 	 	70	1	 	 	1	1	 	 	559	12	342	80	5	2	64	119	10	9	8	19	-3087	24	1	3	29	61	 	1	32	1	18	6	1	 	6	6	1	6	 	1	264	2	1	 	3	3	 	1	3	 	1	 	 	 	 	 	1	 	 	 	9	 	 	 	 	 	 	 	2	 	5	 	1	 	2	1	 	 	 	 	31	3	 	 	 	 	 	 	4	 	5	1	 	 	1	1	 	 	1	 	21	 	 	 	 	1	 	 	3
S_M	4	4	1	 	 	2	1	1	 	13	14	3	338	3	 	2	16	 	1	37	 	 	3	 	 	1	1	 	 	6	6	2	38	 	 	1	3	 	 	14	1	1	 	1	 	3	 	2	 	11	25	3	171	1	1	3	7	 	 	42	 	2	 	 	 	 	 	 	 	1	15	3	49	1	 	1	2	 	 	9	1	1	 	 	 	 	 	 	 	4	8	1	49	 	 	5	1	 	 	11	 	2	 	 	1	 	 	 	 	1	1	1	10	1	 	 	1	 	 	6	 	1	1	 	 	 	 	 	 	2	1	 	18	 	 	 	1	 	 	9	1	2	 	 	 	 	1	 	 	4	10	1	36	1	1	1	4	 	1	32	 	 	 	 	 	 	3	 	 	10	5	 	20	1	 	 	2	 	 	4	 	 	 	 	 	1	1	 	 	1	6	 	12	 	 	 	 	 	 	7	1	 	6	 	 	 	 	 	 	6	1	2	63	1	1	1	2	 	 	6	1	 	 	1	 	 	 	 	 	2	1	1	15	 	 	 	2	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	3	 	 	 	 	 	1	3	1	 	3	 	 	2	 	 	 	5	6	3	20	1	 	 	9	 	 	12	1	 	 	 	3	 	 	 	 	5	10	 	20	1	 	1	4	 	 	450	43	99	5	2	 	15	12	6	4	231	674	108	-3596	19	30	23	197	 	5	306	13	3	1	1	 	2	3	1	1	22	50	2	296	6	 	3	6	 	1	9	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	6	 	 	1	 	 	2	2	 	 	1	1	3	19	1	 	1	3	 	 	4	1	 	8	 	 	 	1	 	 	13	5	 	7	1	1	1	1	 	 	2
S_F	1	 	 	 	1	 	 	1	1	2	18	 	 	270	1	1	 	 	12	4	 	 	1	1	 	1	1	 	 	1	1	1	 	61	1	1	 	 	1	8	 	 	1	 	 	 	 	 	1	1	8	 	 	153	 	3	3	 	7	2	 	 	 	 	 	 	 	 	 	 	1	 	 	13	 	 	 	 	2	13	 	 	 	 	2	 	 	 	1	1	1	 	 	132	 	 	 	 	9	2	 	 	 	 	 	 	 	 	 	 	 	 	 	14	 	 	 	 	4	1	 	 	 	 	 	 	 	 	 	 	1	 	 	23	 	1	 	 	1	19	 	 	 	 	 	 	2	 	3	2	4	 	 	78	1	1	 	 	6	5	 	 	 	 	 	 	 	 	 	1	2	 	 	27	 	 	 	 	3	3	 	 	 	 	 	 	 	 	 	 	 	 	 	13	 	 	 	 	1	3	 	 	 	 	 	 	 	 	 	1	5	 	 	42	 	2	 	 	3	4	 	 	 	 	 	 	 	 	 	 	 	 	 	15	1	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	2	 	 	3	 	 	 	 	 	4	 	1	 	 	1	 	 	 	 	1	1	 	 	84	 	1	 	1	1	6	 	 	1	 	2	 	 	 	 	 	2	 	 	17	2	1	2	 	 	679	10	2	2	2	17	1	6	1	16	40	143	1	22	-2637	4	33	7	17	377	48	1	1	3	1	1	2	1	 	6	4	9	1	 	280	 	4	1	1	29	7	 	 	 	 	 	 	 	 	 	1	1	 	 	1	 	 	 	 	 	4	1	 	1	 	 	 	 	 	 	 	1	 	 	52	 	 	 	 	1	7	 	1	 	 	 	 	3	 	1	 	8	 	 	34	 	 	 	 	3	1
S_P	17	3	 	1	 	 	8	1	5	1	1	4	 	1	334	15	9	 	 	6	2	4	 	 	 	1	1	7	 	 	4	 	 	 	153	1	 	3	 	9	8	26	1	1	1	2	27	2	1	 	2	1	1	 	106	10	2	 	 	4	1	1	1	3	 	 	3	3	1	1	1	15	 	 	15	5	5	 	1	6	4	1	 	 	 	 	 	 	2	 	 	1	 	 	107	1	 	 	 	2	1	 	 	 	 	 	 	 	 	 	1	1	 	 	8	1	2	 	 	1	 	2	 	 	 	 	 	 	 	 	4	 	 	 	31	1	 	 	 	10	7	3	 	 	 	 	1	 	 	 	3	2	 	 	108	4	1	 	 	2	3	2	 	 	 	 	 	 	 	 	 	 	 	 	17	1	 	 	 	2	6	 	 	 	 	 	 	 	 	1	1	 	 	 	11	 	1	 	 	4	4	 	 	 	 	 	2	 	1	1	2	 	 	 	17	3	3	 	2	2	1	1	1	 	 	 	1	1	 	1	2	 	 	 	34	1	1	 	 	3	 	 	 	 	 	 	1	 	 	 	 	 	 	 	16	 	 	 	 	3	1	 	2	 	 	 	3	1	 	2	 	1	 	 	25	2	1	 	 	8	6	4	1	 	 	 	1	 	1	 	1	 	 	 	238	7	3	 	 	683	114	86	18	8	5	9	93	8	94	18	93	33	11	4	-3119	175	66	2	5	67	3	5	 	1	4	1	3	 	2	1	3	1	 	1	302	5	3	 	 	4	3	 	 	 	 	 	 	 	 	 	 	 	 	 	3	 	1	 	 	4	 	 	 	1	 	 	1	 	 	 	 	 	 	 	30	2	1	 	 	6	1	2	 	 	1	 	 	1	 	1	2	 	 	 	37	6	 	 	 	 
S_S	22	2	12	1	5	1	1	9	2	4	1	1	1	2	1	225	14	3	4	13	1	1	4	3	1	1	1	1	 	 	 	 	 	 	1	81	3	 	 	15	24	3	12	 	4	 	 	3	1	3	2	2	1	2	12	318	20	1	2	5	4	1	2	1	 	 	 	2	 	1	1	1	 	1	 	29	5	1	 	4	3	 	3	1	1	 	 	1	 	 	 	 	 	 	 	58	5	 	 	5	2	 	1	 	 	 	 	2	 	 	 	 	 	 	 	10	1	 	 	2	1	 	1	 	 	 	 	2	1	 	1	 	 	 	1	21	2	 	 	12	4	2	7	1	1	1	1	3	 	2	1	2	 	4	1	98	6	 	1	3	1	1	2	1	1	 	 	 	 	 	 	 	 	 	 	29	2	 	 	5	7	1	2	 	1	 	1	 	1	 	1	 	 	 	 	18	3	 	 	4	2	1	2	 	 	 	 	 	 	1	 	1	 	 	1	27	3	 	 	4	1	1	2	1	2	3	1	1	1	1	 	1	 	1	1	29	5	 	1	4	1	 	2	 	 	 	 	 	 	 	 	 	 	 	 	6	 	 	 	3	3	1	1	1	1	1	 	1	1	1	1	1	 	1	 	44	7	1	1	3	4	1	4	 	1	 	 	 	 	 	1	1	 	 	1	39	2	 	 	535	224	38	241	17	58	17	15	65	15	17	24	19	7	24	60	-3252	326	14	18	33	19	4	12	1	4	2	1	2	6	1	2	3	1	1	4	202	22	1	1	4	1	 	1	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	3	2	1	1	1	1	1	 	1	 	 	1	 	 	1	1	33	1	 	 	2	2	 	2	 	 	1	 	2	1	 	 	1	 	 	1	17	3	 	1	1
S_T	10	2	3	1	 	1	 	5	1	3	3	2	6	1	3	10	275	 	 	16	6	1	1	2	 	1	1	1	 	2	1	2	1	 	 	1	50	 	 	12	4	3	2	1	 	1	2	 	 	3	1	4	2	 	1	15	118	 	 	14	1	2	 	 	 	 	 	 	 	3	 	1	 	 	 	4	22	 	 	7	4	1	1	 	1	1	 	 	 	4	 	2	 	 	 	3	111	 	 	9	2	2	1	 	 	 	2	1	 	2	1	1	 	 	 	1	12	 	 	4	1	 	 	 	 	3	 	 	 	3	1	2	 	 	 	2	9	 	 	13	4	2	1	1	8	1	1	1	 	1	1	1	 	 	2	7	74	 	 	6	 	 	 	 	 	 	 	 	 	3	 	 	 	 	 	2	20	 	 	5	 	 	 	 	 	1	 	 	 	1	2	 	1	 	 	3	33	 	 	4	2	 	1	 	 	1	1	 	 	2	1	1	1	 	 	3	41	 	 	4	1	1	2	 	 	 	 	 	 	1	 	1	1	 	 	3	21	 	 	3	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	2	3	 	 	3	3	1	 	 	 	 	 	 	 	2	 	1	 	 	 	4	36	 	 	5	7	1	6	 	 	 	 	 	 	1	2	1	2	 	 	6	27	 	 	564	167	17	49	6	7	12	5	19	4	96	19	61	43	2	16	319	-2696	1	6	75	10	6	3	1	1	3	1	 	1	4	2	2	3	1	 	10	220	 	 	5	1	 	 	 	 	 	 	 	 	 	 	 	1	 	 	1	15	 	 	4	7	 	1	 	 	 	 	 	 	 	 	 	 	 	1	2	17	 	 	4	2	 	1	 	 	1	1	3	 	1	3	1	1	 	 	1	21	 	 	3
S_W	 	4	 	 	2	 	1	2	1	2	3	 	 	1	 	1	 	275	3	18	 	4	2	 	 	1	2	 	1	 	 	 	 	 	4	15	 	58	 	28	 	5	 	 	7	 	 	 	2	2	1	1	1	1	7	 	 	145	3	11	 	1	 	 	 	 	1	 	 	2	 	 	 	 	 	 	2	27	 	8	1	 	 	 	 	 	2	 	 	 	1	1	 	10	 	 	 	94	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	35	 	17	 	1	 	 	3	4	1	 	 	 	 	 	 	 	 	 	 	23	 	13	 	2	 	 	 	 	 	 	2	 	 	2	 	 	 	 	 	116	 	6	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	19	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	11	 	3	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	3	 	36	 	5	 	2	3	 	 	 	 	 	 	 	 	 	 	 	3	1	1	33	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	6	 	11	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	2	 	33	 	8	 	 	 	 	 	 	 	 	 	 	2	 	 	 	 	2	 	54	1	578	2	94	 	 	50	4	16	7	5	 	30	4	2	16	2	33	1	-2048	28	19	 	5	 	 	 	1	1	 	 	 	1	 	 	4	 	2	1	226	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	 	1	 	1	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	18	 	 
S_Y	 	2	1	1	1	1	 	 	6	 	2	 	 	21	1	1	2	 	287	6	 	 	 	2	5	 	 	 	2	1	 	 	 	1	1	1	 	 	41	7	 	1	1	 	1	 	1	 	4	 	 	 	 	6	 	1	 	 	187	3	 	 	 	 	1	 	 	 	1	 	 	 	 	1	1	1	 	 	27	10	 	1	 	 	1	1	 	 	 	 	7	 	 	5	 	 	1	 	105	2	 	 	 	 	 	 	 	 	1	 	 	 	 	4	 	 	 	 	9	1	 	 	 	 	 	 	 	 	1	 	 	 	 	1	 	 	 	 	8	8	 	1	 	 	1	 	1	 	4	 	1	 	 	5	 	 	 	 	95	1	 	 	 	1	 	 	 	 	1	 	 	 	 	3	 	 	 	 	30	10	 	 	 	 	6	 	 	 	 	 	2	 	 	2	 	 	 	 	8	6	 	1	 	 	 	 	 	 	1	 	 	 	 	4	 	1	1	 	29	2	 	 	 	 	 	 	 	 	1	 	 	 	 	3	 	1	 	 	19	 	 	 	 	 	 	 	 	 	1	 	1	 	 	 	 	 	 	 	4	3	 	 	 	 	 	 	 	 	2	1	 	 	 	4	 	 	 	 	25	2	 	 	1	 	1	 	 	 	3	 	 	 	 	1	 	1	 	 	34	600	2	6	13	3	44	2	8	1	87	11	23	5	6	274	4	17	6	6	-2338	17	2	1	2	1	2	1	 	 	5	1	8	1	3	18	1	2	2	 	323	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	3	3	 	 	 	1	 	 	 	 	 	 	1	 	 	2	 	 	 	 	19	1	 	 	 	 	 	 	 	 	1	 	 	 	 	4	 	 	 	 	20	 
S_V	11	6	7	4	1	7	4	3	5	18	6	7	3	5	2	6	9	1	2	239	2	1	1	2	 	2	1	1	1	4	3	2	2	1	 	2	3	 	3	51	9	3	2	2	1	2	2	1	1	14	7	3	8	1	1	3	12	2	1	142	2	1	1	 	 	1	1	1	 	7	1	 	1	1	 	 	1	1	 	45	10	1	 	1	 	 	 	1	 	41	4	 	1	1	 	2	3	 	 	158	1	1	1	 	 	1	2	 	1	1	1	1	1	 	 	3	1	 	 	15	1	 	 	1	 	1	 	 	 	2	1	1	 	 	2	1	1	 	1	22	2	1	 	1	 	1	1	1	1	5	3	1	2	1	 	1	5	 	1	67	1	1	 	 	 	 	 	 	1	2	1	 	1	1	 	 	1	 	 	31	2	3	1	1	2	4	2	2	1	2	4	2	1	2	1	3	2	1	2	31	2	1	1	1	1	1	1	1	1	4	4	2	 	1	1	3	2	 	1	38	2	1	1	5	1	9	2	2	1	3	7	3	1	1	1	3	1	1	2	23	1	1	1	 	1	1	2	 	1	3	2	4	1	 	1	4	2	 	1	15	2	1	 	 	 	1	 	1	 	2	1	 	2	 	 	1	1	 	 	20	2	1	3	1	 	2	1	1	1	4	2	1	1	1	1	1	2	1	1	649	96	9	6	15	9	19	11	16	6	638	163	14	60	26	8	13	67	1	7	-6202	143	289	214	292	46	245	195	132	159	146	166	164	52	99	53	176	207	69	145	473	1	 	 	 	 	 	 	 	 	1	1	 	1	 	 	 	5	 	 	11	1	 	 	 	 	1	 	 	 	1	1	 	1	 	 	 	1	 	 	32	4	3	2	2	 	2	3	2	2	4	3	2	1	3	1	4	2	1	3	18
T_A	290	 	1	1	 	1	 	5	 	5	2	1	2	 	3	16	14	 	 	16	17	 	 	2	 	1	1	1	1	 	 	 	 	 	 	8	1	 	 	8	67	1	1	2	2	1	 	3	 	1	 	2	 	 	1	11	3	 	 	9	4	 	 	 	 	 	 	 	 	1	1	 	 	 	 	1	1	 	 	2	7	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	11	2	 	 	 	 	 	 	 	3	 	1	 	 	 	3	3	 	 	4	7	 	 	 	 	 	 	3	 	 	 	 	 	 	 	1	 	 	 	10	12	 	 	 	 	1	 	 	 	 	1	 	 	 	 	1	1	 	 	2	5	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	1	 	 	11	123	 	 	1	 	3	 	2	 	2	1	 	 	 	4	22	7	 	3	13	46	 	 	 	 	 	 	 	 	1	 	1	 	 	3	5	3	 	8	7	41	 	 	2	 	5	 	2	 	2	1	1	 	 	1	6	4	 	 	10	44	 	 	 	 	 	 	 	 	1	 	 	 	 	2	10	4	 	 	7	7	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	2	 	 	6	34	 	 	 	 	1	1	6	 	1	 	 	1	 	2	3	8	 	 	37	261	1	1	3	2	2	 	3	1	3	3	1	 	 	3	57	18	 	1	411	-2933	12	8	22	15	54	10	94	3	13	20	17	18	11	35	383	264	 	9	207	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	2	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	25	125	1	2	2	 	1	1	3	 	2	 	1	2	 	5	11	6	 	 	6
T_R	 	265	3	 	2	2	9	4	8	 	3	7	 	 	1	2	1	 	 	3	1	25	 	 	 	1	3	2	1	 	1	2	 	 	 	3	1	 	 	5	 	82	1	 	 	 	4	1	2	 	 	5	 	1	 	2	2	 	1	2	 	8	 	 	 	1	1	 	 	 	1	2	 	 	 	 	 	 	 	2	 	18	4	 	 	 	 	 	2	 	 	1	 	 	 	 	 	 	 	2	 	15	 	 	 	1	2	 	1	 	1	2	 	 	 	 	1	 	 	6	 	7	 	 	 	 	 	 	 	 	 	2	 	 	 	 	 	 	 	1	 	17	 	 	 	 	1	 	 	 	 	3	 	 	 	 	 	 	 	 	 	5	 	 	 	1	 	 	1	 	 	1	 	 	 	 	1	 	 	12	 	54	 	 	1	1	8	1	2	1	1	7	 	 	 	1	 	 	 	3	1	18	2	 	 	 	2	 	4	 	1	2	 	 	 	 	1	 	1	3	1	29	 	 	 	1	2	 	2	 	1	2	 	 	 	3	3	 	 	2	 	53	 	 	 	1	4	 	1	1	2	3	 	 	 	1	1	 	1	2	 	7	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	2	1	49	 	1	 	1	2	 	2	1	 	1	 	 	1	 	 	 	 	18	 	401	2	1	2	1	10	2	5	 	2	18	 	1	1	3	3	 	2	499	13	-2461	22	3	30	17	135	33	66	4	33	301	9	1	9	32	35	12	10	5	 	1	 	 	 	 	 	 	 	 	 	1	 	 	 	 	 	 	 	1	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	9	1	43	1	 	1	1	3	2	3	 	5	5	1	 	2	3	2	 	1	1
T_N	3	1	279	8	1	1	2	4	6	1	1	4	 	 	 	7	1	 	1	8	 	 	42	7	 	1	 	1	1	 	 	1	 	 	 	8	3	 	 	4	 	2	61	2	 	 	 	1	2	 	 	1	 	 	 	5	2	 	 	2	 	1	6	1	 	 	 	 	 	 	 	1	 	 	 	1	 	 	 	 	 	 	3	 	 	 	 	 	 	 	 	 	 	 	 	1	2	 	 	7	1	 	21	1	 	 	 	 	 	 	 	1	 	 	 	1	 	 	 	3	 	 	31	2	 	 	 	 	 	 	 	1	 	 	 	 	1	 	 	2	 	 	9	1	 	1	 	1	 	 	 	1	 	 	 	1	 	 	 	2	 	2	4	 	 	 	 	 	2	 	 	 	 	 	 	2	 	 	 	6	 	1	101	8	1	1	 	1	2	 	 	4	 	 	 	5	1	 	1	1	 	1	15	1	 	 	 	 	1	 	 	1	 	 	 	1	1	 	 	2	 	1	51	5	 	1	 	1	1	1	 	2	 	 	 	6	1	 	 	5	 	1	74	1	 	 	1	 	 	1	 	2	 	 	 	2	 	 	 	1	 	 	3	1	 	 	 	 	 	 	 	 	 	 	 	1	 	 	 	4	1	1	35	1	 	1	 	 	1	1	 	5	 	 	 	3	1	 	1	23	1	3	345	19	1	2	2	2	2	1	1	13	 	 	1	8	6	 	1	456	7	18	-2459	176	5	20	15	29	69	9	1	38	1	2	2	225	86	 	9	9	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	1	 	 	3	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	7	 	3	93	15	 	 	2	1	2	 	 	6	 	 	 	5	1	 	 	 
